"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"395","Ray-Ray McCloud III","SF","wr","9","17","27.8","0","0","0","0","0","0","0","0.4617","2.7037","0.0171","20.3297","14.6986","92.4669","0.5731","0.1267","0.0634","0.0314","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"396","James Washington","DAL","wr","9","17","26.3","0","0","0","0","0","0","0","0","0","0","14.7223","9.2307","117.1933","0.8999","0.111","0.0555","0.0133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"397","Trent Sherfield","MIA","wr","11","17","25.1","0","0","0","0","0","0","0","0","0","0","16.0417","10.1406","111.4874","0.6378","0.0933","0.0466","0.0261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"398","Trent Taylor","CIN","wr","10","17","24.4","0","0","0","0","0","0","0","0","0","0","13.7663","9.7413","107.4596","0.7319","1.1657","0.5828","0.0705","1181.4476","0.7801","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"399","Jalen Virgil","DEN","wr","9","17","24","0","0","0","0","0","0","0","0","0","0","14.1695","9.2471","108.5265","0.7151","0.9632","0.4816","0.0252","586.9899","0.6459","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"400","Tutu Atwell","LA","wr","7","17","23.2","0","0","0","0","0","0","0","2.0876","12.9394","0.0818","11.432","7.854","96.8659","0.6683","0.3146","0.1573","0.0234","339.4511","0.2058","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"401","Danny Gray","SF","wr","9","17","22.8","0","0","0","0","0","0","0","0","0","0","13.0691","8.7063","102.415","0.6402","0.0847","0.0423","0.0214","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"402","Marquise Goodwin","SEA","wr","11","17","21.6","0","0","0","0","0","0","0","5.5294","22.0588","0.19","11.2132","6.3692","94.0221","0.4702","0.7366","0.3683","0.025","278.8765","0.2552","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"403","Calvin Austin III","PIT","wr","9","17","21.6","0","0","0","0","0","0","0","0.3868","2.48","0.0139","12.7072","7.8194","101.2046","0.5519","0.0807","0.0404","0.0188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"404","Jalen Nailor","MIN","wr","7","17","21.2","0","0","0","0","0","0","0","0","0","0","11.5156","7.4744","101.0092","0.6127","0.0727","0.0363","0.0113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"405","Tyrie Cleveland","DEN","wr","9","17","20.7","0","0","0","0","0","0","0","0","0","0","11.6839","7.6787","93.9642","0.6007","0.0732","0.0366","0.0205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"406","Kendric Pryor","JAX","wr","11","17","17.9","0","0","0","0","0","0","0","1.1246","7.2106","0.0371","10.0717","6.3523","80.6483","0.4263","0.0753","0.0377","0.0206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"407","Quintez Cephus","DET","wr","6","17","16","0","0","0","0","0","0","0","0.4108","2.4594","0.0157","8.3119","5.2137","75.1546","0.4834","0.0508","0.0254","0.0279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"408","Breshad Perriman","TB","wr","11","17","14.8","0","0","0","0","0","0","0","0.3995","1.9815","0.0148","7.8605","4.7405","69.7226","0.4653","0.0444","0.0222","0.0188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"409","DeAndre Carter","LAC","wr","8","17","13.5","0","0","0","0","0","0","0","2.0276","9.8402","0.0706","6.7117","4.5272","58.2882","0.3936","1.2475","0.6237","0.0106","1129.1019","0.7752","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"410","Richie James Jr.","NYG","wr","9","17","13.5","0","0","0","0","0","0","0","0","0","0","7.5805","4.8304","67.3109","0.423","1.2735","0.6367","0.0081","1225.3196","0.9172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"411","Michael Strachan","IND","wr","14","17","12.5","0","0","0","0","0","0","0","0","0","0","6.7118","4.4931","57.8173","0.3719","0.0434","0.0217","0.0139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"412","Penny Hart","SEA","wr","11","17","11.8","0","0","0","0","0","0","0","0","0","0","7.4754","4.9396","53.2035","0.2563","0.0467","0.0233","0.0133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
