"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"105","Robert Tonyan","GB","te","14","17","115","2","0","0","0","0","0","0","0","0","0","69.5341","52.8121","582.5115","5.0196","0.5131","0.2566","0.2541","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","James Cook","BUF","rb","7","17","110","2","0","0","0","0","0","0","89.3015","371.2088","2.7627","46.8668","38.0094","287.1264","1.4743","0.9945","0.4972","0.1223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"107","Tyler Boyd","CIN","wr","10","17","150.5","2","0","0","0","0","0","0","1.5628","8.0011","0.046","101.7226","73.1961","816.153","5.2102","0.8301","0.415","0.1658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"108","Marquise Brown","ARZ","wr","13","17","150.5","2","0","0","0","0","0","0","0.8046","4.5856","0.0297","99.9038","69.2979","815.6498","5.6306","0.7843","0.3922","0.1106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","Russell Wilson","DEN","qb","9","17","320.1","2","344.0039","555.4397","4118.155","26.7247","8.2823","47.1196","73.1864","427.2698","2.4592","0","0","0","0","6.7345","3.3673","1.3225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"110","T.J. Hockenson","DET","te","6","17","112.8","2","0","0","0","0","0","0","0","0","0","77.9609","55.5421","596.3332","4.1673","0.4593","0.2297","0.3089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"111","Carson Wentz","WAS","qb","14","17","318.6","2","393.7698","596.8732","4162.85","28.7851","7.1464","43.9008","73.7833","284.4179","3.2854","0","0","0","0","12.2047","6.1024","1.0161","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","Rhamondre Stevenson","NE","rb","10","17","107.4","2","0","0","0","0","0","0","150.2693","683.5646","4.8976","8.3437","6.8301","50.4396","0.236","0.8395","0.4198","0.0894","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","Chris Godwin","TB","wr","11","17","148.4","2","0","0","0","0","0","0","0.3957","2.0665","0.02","91.0563","68.5824","800.9552","5.6256","0.9213","0.4607","0.1725","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","Zach Ertz","ARZ","te","13","17","112.2","2","0","0","0","0","0","0","0.8046","3.0538","0.0257","86.5616","60.8272","563.951","4.0734","0.5039","0.252","0.3893","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
